id,sport,type,date,description,league,stake,odds,returns,result,bookmaker,valueTag,tipster,freeBet,notes
1777445478486,Horse Racing,Single,2026-04-29,Bacio,US Racing,0.16,1.4,0.22,win,Paddy Power,,,
1777445442280,Football,Single,2026-04-29,Dembele 1+ Fouled,Champions League,0.1,51,0,loss,Paddy Power,,,
1777445425104,Football,Single,2026-04-29,Dembele 1+ Fouled,Champions League,0.1,7.5,0,loss,Paddy Power,,,
1777404706219,Football,Single,2026-04-28,Diaz 1+ SoT,Champions League,0.68,2,1.36,win,Paddy Power,,,
1777404685308,Football,Bet Builder,2026-04-28,Mixed Selections,Champions League,0.2,26.92,0,loss,Paddy Power,,,
1777404489701,Football,Single,2026-04-28,Over 1.5 Goals,Egypt Premier League,0.1,3.3,0.33,win,Paddy Power,,,
1777404470535,Football,Single,2026-04-28,Over 1.5 Goals,Egypt Premier League,0.2,2.75,0.55,win,Paddy Power,,,
1777404443807,Football,Single,2026-04-28,Over 0.5 Goals,Egypt Premier League,0.2,1.5,0.3,win,Paddy Power,,,
1777404417445,Football,Single,2026-04-28,Over 0.5 Goals,Egypt Premier League,0.5,1.36,0.68,win,Paddy Power,,,
1777404389362,Horse Racing,Single,2026-04-28,Il Etait Temps,Punchestown,1.2,1.83,2.2,win,Paddy Power,,,
1777404344644,Football,Single,2026-04-26,Leeds,FA Cup,0.47,3.7,0,loss,Paddy Power,,,
1777404319689,Other,Single,2026-04-26,Aidan O'Connor to Score 10+ Points,GAA,0.26,2.4,0,loss,Paddy Power,,,
1777404281660,Football,Single,2026-04-25,Wrexham,Championship,0.3,3.5,0,loss,Paddy Power,,,
1777404224455,Football,Double,2026-04-25,Wrexham Over 2.5,Championship,0.15,4.49,0,loss,Paddy Power,,,
1777404198633,Football,Single,2026-04-25,Over 2.5 Goals,Championship,0.3,1.57,0.47,win,Paddy Power,,,
1777404171194,Football,Single,2026-04-25,Over 0.5 Goals,FA Cup,0.94,1.25,1.18,win,Paddy Power,,,
1777404147119,Football,Single,2026-04-25,Over 0.5 Goals,FA Cup,0.25,1.53,0.38,win,Paddy Power,,,
1777108559899,Football,Sixfold,2026-04-25,Over 2.5 Acca,Mixed,0.18,15.68,0,loss,Paddy Power,,,
1777108534878,Football,Sixfold,2026-04-25,BTTS Acca,Mixed,0.18,16.32,0,loss,Paddy Power,,,
1777108492991,Football,Treble,2026-04-25,Over 2.5 Treble,National League North,0.3,4.22,0,loss,Paddy Power,,,
